Year,Country_Vehicle,value
2004,PL_CAR,67.9
2004,PL_TRN,8.5
2004,PT_BUS,11.1
2004,PT_CAR,85.1
2004,PT_TRN,3.8
2004,SE_BUS,7.8
2004,SE_CAR,84.7
2004,SE_TRN,7.5
2004,SI_BUS,12.4
2004,SI_CAR,84.9
2004,SI_TRN,2.7
2005,AT_BUS,10.5
2005,AT_CAR,79.7
2005,AT_TRN,9.8
2005,BE_BUS,13.0
2005,BE_CAR,80.7
2005,BE_TRN,6.3
2005,CH_BUS,5.3
2005,CH_CAR,78.4
2005,CH_TRN,16.3
2005,DE_BUS,6.7
2005,DE_CAR,85.8
2005,DE_TRN,7.5
2005,DK_BUS,11.4
2005,DK_CAR,79.1
2005,DK_TRN,9.5
2005,EL_BUS,20.0
2005,EL_CAR,78.3
2005,EL_TRN,1.7
2005,ES_BUS,12.9
2005,ES_CAR,82.0
2005,ES_TRN,5.1
2005,FI_BUS,10.3
2005,FI_CAR,84.9
2005,FI_TRN,4.8
2005,FR_BUS,5.2
2005,FR_CAR,85.8
2005,FR_TRN,9.1
2005,HU_BUS,23.4
2005,HU_CAR,64.0
2005,HU_TRN,12.6
2005,IE_BUS,14.6
2005,IE_CAR,82.1
2005,IE_TRN,3.3
2005,IT_BUS,12.2
2005,IT_CAR,81.8
2005,IT_TRN,6.0
2005,LU_BUS,10.9
2005,LU_CAR,85.5
2005,LU_TRN,3.6
2005,NL_BUS,3.8
2005,NL_CAR,87.3
2005,NL_TRN,8.9
2005,PL_BUS,22.4
2005,PL_CAR,69.4
2005,PL_TRN,8.2
2005,PT_BUS,6.7
2005,PT_CAR,89.3
2005,PT_TRN,4.0
2005,SE_BUS,7.6
2005,SE_CAR,84.6
2005,SE_TRN,7.7
2005,SI_BUS,11.6
2005,SI_CAR,85.6
2005,SI_TRN,2.7
2006,AT_BUS,10.4
2006,AT_CAR,79.6
2006,AT_TRN,10.0
2006,BE_BUS,13.2
2006,BE_CAR,80.2
2006,BE_TRN,6.6
2006,CH_BUS,5.6
2006,CH_CAR,77.9
2006,CH_TRN,16.5
2006,DE_BUS,6.6
2006,DE_CAR,85.6
2006,DE_TRN,7.8
2006,DK_BUS,9.9
2006,DK_CAR,82.0
2006,DK_TRN,8.1
2006,EL_BUS,19.2
2006,EL_CAR,79.2
2006,EL_TRN,1.6
2006,ES_BUS,12.0
2006,ES_CAR,82.8
2006,ES_TRN,5.2
2006,FI_BUS,10.3
2006,FI_CAR,84.9
2006,FI_TRN,4.8
2006,FR_BUS,5.3
2006,FR_CAR,85.3
2006,FR_TRN,9.4
2006,HU_BUS,22.1
2006,HU_CAR,65.9
2006,HU_TRN,12.0
2006,IE_BUS,14.4
2006,IE_CAR,82.3
2006,IE_TRN,3.3
2006,IT_BUS,12.4
2006,IT_CAR,81.5
2006,IT_TRN,6.1
2006,LU_BUS,10.8
2006,LU_CAR,85.3
2006,LU_TRN,3.9
2006,NL_BUS,3.5
2006,NL_CAR,87.2
2006,NL_TRN,9.4
2006,PL_BUS,10.6
2006,PL_CAR,82.5
2006,PL_TRN,6.9
2006,PT_BUS,6.3
2006,PT_CAR,89.6
2006,PT_TRN,4.0
2006,SE_BUS,7.6
2006,SE_CAR,84.1
2006,SE_TRN,8.3
2006,SI_BUS,11.7
2006,SI_CAR,85.6
2006,SI_TRN,2.7
2007,AT_BUS,10.8
2007,AT_CAR,79.2
