Statistic,Week,Mode_of_Transport,VALUE
Passenger Journeys,2020 Week 47,"Bus, excluding Dublin Metro",302115.0
Passenger Journeys,2020 Week 47,Rail,197427.0
Passenger Journeys,2020 Week 47,"All public transport, excluding LUAS",1707528.0
Passenger Journeys,2020 Week 48,Dublin Metro Bus,1241445.0
Passenger Journeys,2020 Week 48,"Bus, excluding Dublin Metro",307535.0
Passenger Journeys,2020 Week 48,Rail,194005.0
Passenger Journeys,2020 Week 48,"All public transport, excluding LUAS",1742985.0
Passenger Journeys,2020 Week 49,Dublin Metro Bus,1586454.0
Passenger Journeys,2020 Week 49,"Bus, excluding Dublin Metro",407988.0
Passenger Journeys,2020 Week 49,Rail,295306.0
Passenger Journeys,2020 Week 49,"All public transport, excluding LUAS",2289748.0
Passenger Journeys,2020 Week 50,Dublin Metro Bus,1682988.0
Passenger Journeys,2020 Week 50,"Bus, excluding Dublin Metro",436740.0
Passenger Journeys,2020 Week 50,Rail,315393.0
Passenger Journeys,2020 Week 50,"All public transport, excluding LUAS",2435121.0
Passenger Journeys,2020 Week 51,Dublin Metro Bus,1745336.0
Passenger Journeys,2020 Week 51,"Bus, excluding Dublin Metro",444680.0
Passenger Journeys,2020 Week 51,Rail,322484.0
Passenger Journeys,2020 Week 51,"All public transport, excluding LUAS",2512500.0
Passenger Journeys,2020 Week 52,Dublin Metro Bus,1076018.0
